번호|평점|영화|140자평|글쓴이|날짜
15922544|5|라이온 킹|이거 .. 디즈니에서 만든거 치고는 진짜 .. 별로였다 |star****|19.07.21
15922543|10|스파이더맨: 파 프롬 홈|보고싶다 아이언맨~~스파이더맨♥♥ |any8****|19.07.21
15922542|8|토이 스토리 2|토이스토리 4를 보고 1부터 정주행하고 있어요. 최고최고 |zldn****|19.07.21
15922540|9|진범|스토리가 엄청 탄탄하지는 않았지만 연기를 잘 해서 지루할 틈 없이 봤습니다 |juhe****|19.07.21
15922541|8|라이온 킹|아이들하고  보기 좋아요 |koa1****|19.07.21
15922539|10|라이온 킹|첫장면 보고 울컥!!! 내용를 다 알고 보는데도 울컥울컥 했네요 애낳고 보세요 느낌 또 다릅니다 - 애기난지 4개월된 애기엄마 |leeh****|19.07.21
15922537|1|나고야 살인사건|4.44 맞춰버리기~ |as04****|19.07.21
15922538|1|나고야 살인사건|4.44 맞춰버리기~ |as04****|19.07.21
15922536|10|진범|개인적으로 스파이더맨보다 더 기억에 남는 영화였어요 |stor****|19.07.21
15922535|8|토이 스토리|토이스토리 4를 보고 정주행하고 있어요. 95년작이라는게 믿겨지지않는 퀄리티 |zldn****|19.07.21
