번호|평점|영화|140자평|글쓴이|날짜
15925420|10|라이온 킹|그냥 말 그대로 좋았다... |rlae****|19.07.22
15925419|2|토이 스토리 4|..개..노..잼.. |hwan****|19.07.22
15925418|10|라이온 킹|어릴적 애니로 보고 성인이 돼서 살아있는 실사같은 cg로 다시 만나 감동이였음 시작부터 소름!! |ume1****|19.07.22
15925417|10|스파이더맨: 파 프롬 홈|역시 재밌음ㅎㅎ 스파이더맨 다운영화 |hss9****|19.07.22
15925416|10|애나벨 집으로|이번엔 악령들이 엄청 많이 나와서 더 볼만했던 거 같음 |con1****|19.07.22
15925415|2|라이온 킹|진짜 최악아내요 별 안주려고 했는데 2점 줄게요 |hwan****|19.07.22
15925414|10|천로역정: 천국을 찾아서|인생에  정말 도움이 되는 영화 인것 같아요. 많은  것을 느끼고 왔습니다. |fool****|19.07.22
15925413|10|스파이더맨: 파 프롬 홈|너무 재미있고 톰 홀랜드 잘생겼어욤 |hwan****|19.07.22
15925412|10|라이온 킹|오히려 더 생동감으로 보여서 인지 너무 재밌게 잘 봤습니다 감동 ,, |sola****|19.07.22
15925411|10|보이후드|1살때의 나와 10살때의 나와 20살때의 나와 처음으로 무언갈 했던때의 나와 마지막으로 무언갈 했지만 그게 마지막인지 몰랐을때의 나와 내가 기억하는 나와 내가 망각하는 내가 자라 내가 되었다 |holi****|19.07.22
